posession,quarter,event,special_type,location_description,result_description,away_score,home_score
away,1,kickoff,,,Jake Thompson kickoff for 65 yds for a touchback,0,0
home,1,pass,,1st and 10 at BYU 25,Taysom Hill pass complete to Jordan Leslie for 53 yds to the UthSt 22 for a 1ST down,,
home,1,pass,,1st and 10 at USU 22,Taysom Hill pass complete to Jordan Leslie for 4 yds to the UthSt 18,,
home,1,run,,2nd and 6 at USU 18,Jamaal Williams run for 7 yds to the UthSt 11 for a 1ST down,,
home,1,pass,,1st and 10 at USU 11,Taysom Hill pass incomplete to Jordan Leslie,,
home,1,run,touchdown,2nd and 10 at USU 11,"Taysom Hill run for 11 yds for a TD, (Trevor Samson KICK)",0,7
home,1,,,,Andrew Mikkelsen kickoff for 65 yds for a touchback,0,7
away,1,,,1st and 10 at USU 25,Darell Garretson pass incomplete,,
away,1,,,2nd and 10 at USU 25,Nick Vigil run for 8 yds to the UthSt 33,,
away,1,,,3rd and 2 at USU 33,Joe Hill run for 3 yds to the UthSt 36 for a 1ST down,,
away,1,,,1st and 10 at USU 36,Darell Garretson pass complete to JoJo Natson for 15 yds to the BYU 49 for a 1ST down,,
away,1,,,1st and 10 at BYU 49,Darell Garretson pass complete to Devonte Robinson for 20 yds to the BYU 29 for a 1ST down,,
away,1,,,1st and 10 at BYU 29,Joe Hill run for no gain to the BYU 29,,
away,1,,,2nd and 10 at BYU 29,Joe Hill run for 5 yds to the BYU 24,,
away,1,,,3rd and 5 at BYU 24,"Darell Garretson run for a loss of 12 yards to the BYU 36 Darell Garretson fumbled, recovered by BYU Jordan Johnson",,
home,1,,,1st and 10 at BYU 36,Jamaal Williams run for 3 yds to the BYU 39,0,7
home,1,,,2nd and 7 at BYU 39,Taysom Hill pass complete to Terenn Houk for a loss of 2 yards to the BYU 37,,
home,1,,,3rd and 9 at BYU 37,Taysom Hill pass incomplete to Mitch Mathews,,
home,1,,,4th and 9 at BYU 37,"Scott Arellano punt for 43 yds, fair catch by JoJo Natson at the UthSt 20",,
away,1,,,1st and 10 at USU 20,Darell Garretson pass incomplete,0,7
away,1,,,2nd and 10 at USU 20,Joe Hill run for a loss of 2 yards to the UthSt 18,,
away,1,,,3rd and 12 at USU 18,"UTAH ST Penalty, False Start (-5 Yards) to the UthSt 13",,
away,1,,,3rd and 17 at USU 13,Joe Hill run for 8 yds to the UthSt 21,,
away,1,,,4th and 9 at USU 21,"Jaron Bentrude punt for 45 yds, fair catch by Devon Blackmon at the BYU 34 for a 1ST down UTAH ST Penalty, Kick Catching Interference (-15 Yards) to the BYU 49 for a 1ST down",,
home,1,,,1st and 10 at BYU 49,Jamaal Williams run for 5 yds to the UthSt 46,0,7
home,1,,,2nd and 5 at USU 46,Taysom Hill run for 6 yds to the UthSt 40 for a 1ST down,,
home,1,,,1st and 10 at USU 40,Taysom Hill sacked by Elvis Kamana-Matagi for a loss of 7 yards to the UthSt 47,,
home,1,,,2nd and 17 at USU 47,"BYU Penalty, False Start (-5 Yards) to the BYU 48",,
home,1,,,2nd and 22 at BYU 48,Taysom Hill pass incomplete to Terenn Houk,,
home,1,,,3rd and 22 at BYU 48,Taysom Hill run for 7 yds to the UthSt 45,,
home,1,,,4th and 15 at USU 45,"Scott Arellano punt for 30 yds, fair catch by JoJo Natson at the UthSt 15",,
away,1,,,1st and 10 at USU 15,"Darell Garretson pass complete to JoJo Natson for 15 yds to the UthSt 30 for a 1ST down BYU Penalty, Personal Foul (15 Yards) to the UthSt 45 for a 1ST down",0,7
away,1,,,1st and 10 at USU 45,Darell Garretson pass incomplete to Hunter Sharp,,
away,1,,,2nd and 10 at USU 45,Darell Garretson pass complete to Hunter Sharp for 12 yds to the BYU 43 for a 1ST down,,
away,1,,,1st and 10 at BYU 43,LaJuan Hunt run for 4 yds to the BYU 39,,
away,1,,,2nd and 6 at BYU 39,Darell Garretson pass complete to Hunter Sharp for 22 yds to the BYU 17 for a 1ST down,,
away,1,,,1st and 10 at BYU 17,Nick Vigil run for 5 yds to the BYU 12,,
away,1,,,2nd and 5 at BYU 12,Nick Vigil run for 6 yds to the BYU 6 for a 1ST down,,
away,1,,,1st and Goal at BYU 6,Nick Vigil run for 1 yd to the BYU 5,,
away,1,,,2nd and Goal at BYU 5,Darell Garretson sacked by Remington Peck for a loss of 2 yards to the BYU 7,,
away,1,,,3rd and Goal at BYU 7,"Darell Garretson pass complete to Devonte Robinson for 7 yds for a TD, (Nick Diaz KICK)",7,7
away,1,,,,Jake Thompson kickoff for 65 yds for a touchback,7,7
home,1,,,1st and 10 at BYU 25,Taysom Hill pass complete to Terenn Houk for 5 yds to the BYU 30,,
home,1,,,2nd and 5 at BYU 30,Jamaal Williams run for 3 yds to the BYU 33,,
,,,,,End of 1st Quarter,,
home,2,,,3rd and 2 at BYU 33,Taysom Hill run for 12 yds to the BYU 45 for a 1ST down,7,7
home,2,,,1st and 10 at BYU 45,Jamaal Williams run for 9 yds to the UthSt 46,,
home,2,,,2nd and 1 at USU 46,Jamaal Williams run for 9 yds to the UthSt 37 for a 1ST down,,
home,2,,,1st and 10 at USU 37,Taysom Hill pass complete to Mitch Mathews for no gain to the UthSt 37,,
home,2,,,2nd and 10 at USU 37,Taysom Hill pass complete to Mitch Mathews for 8 yds to the UthSt 29,,
home,2,,,3rd and 2 at USU 29,Taysom Hill run for 4 yds to the UthSt 25 for a 1ST down,,
home,2,,,1st and 10 at USU 25,"Taysom Hill pass complete to Mitch Mathews for 25 yds for a TD, (Trevor Samson KICK)",7,14
home,2,,,,"Andrew Mikkelsen kickoff for 65 yds , Hunter Sharp return for 22 yds to the UTAHST 43 UTAH ST Penalty, Offensive Holding (10 Yards) to the UthSt 12",7,14
away,2,,,1st and 10 at USU 12,"UTAH ST Penalty, Offensive Holding (Wyatt Houston) to the UthSt 6",,
away,2,,,1st and 16 at USU 6,Joe Hill run for 2 yds to the UthSt 8,,
away,2,,,2nd and 14 at USU 8,Darell Garretson pass complete to Joe Hill for 9 yds to the UthSt 17,,
